Player,Rank,Grade,Analysis
Quintayvious Hutchins,174,5.9,Hutchins is an athletic EDGE who has active hands a hot motor and good first-step explosion but his limited pass rush repertoire and lack of functional strength to set the edge with consistency make him a top backup at the next level.
Ephesians Prysock,175,5.9,Prysock is a long corner with solid athleticism who excels in press-man coverage but his elongated transition ability and struggles at the catch point will keep him as a backup at the next level.
Kaleb Elarms-Orr,176,5.9,Elarms-Orr is an athletic rangy prospect who needs to play with far better eye discipline and play recognition to earn more reps at the next level.
Anthony Lucas,177,5.9,Lucas is a physical specimen with tremendous length and powerful upper-body strength to be disruptive off the edge but lacks the consistency and production to be a full-time starter.
Dalton Johnson,178,5.9,Johnson is an instinctive physical ball hawk with proven production but his size and high-end speed limitations likely confine him to a backup role.
Tacario Davis,179,5.9,Davis is a super long corner who has the size burst and tackling skills to develop into a solid NFL player but his lanky build and sticky hips could hold him back from being a starting-level player.
Eli Raridon,180,5.9,Raridon is a complete tight end that lacks some receiving upside due to a lack of suddenness but with the addition of good weight to complement his frame and upside as a blocker he can carve out a consistent role at the next level.
Andre Fuller,181,5.9,Fuller is a big physical cornerback who uses his length to stay attached to receivers and can get his nose dirty in the run game but his lack of high-end ball skills and shortcomings as a reactive athlete will keep him from starting early in his career.
Nick Barrett,182,5.9,Barrett is a disciplined and strong nose tackle who wins with hand use and intelligence but a high pad level lack of a pass rush repertoire and first-step length will force him to a backup role at the NFL level.
Taurean York,183,5.9,Range and instincts help mask the few flaws in York's game such as his frame and stoutness against the run game but there is no doubt that a defense will be properly lined up because of the communication and leadership he displays on the field.
Jack Kelly,184,5.9,Kelly has the tools to be an intriguing passing-down linebacker due to his ability to rush the passer and natural zone eyes but his tight hips lack of run feel and tackling issues will prevent him from seeing every-down playing time.
Ethan Burke,185,5.9,Burke has intriguing size and length that blends with lateral mobility and a hot motor but his limited pass rush ability and inconsistent pad level likely make him more of a rotational defender early on in his career.
Wesley Bissainthe,186,5.9,Bissainthe is an athletic rangy and smart middle linebacker whose lack of stack-and-shed ability and occasional lapses in eye discipline as a cover defender make him a backup early on and ultimately cap his ceiling at the next level.
Taylen Green,187,5.9,Green is a raw prospect despite his collegiate experience who displays high-end arm strength mobility and size that is hard to find for the position. However his decision making and overall accuracy needs to be improved upon to be more than a talented backup with untapped potential.
Barion Brown,188,5.9,Brown has the top-end speed to take the top off and stretch defenses vertically but his struggles in creating separation through press and route savviness will limit him to a gadget player at the next level.
Oscar Delp,189,5.9,Delp is a sure-handed tight end who has positional versatility and mismatch potential but his lack of technique and strength as a blocker will hold him back from seeing starting snaps at the next level early in his career.
Xavier Nwankpa,190,5.9,Nwankpa projects as an “old school” backup strong safety who will bring juice to special teams at the next level but his limited speed and hip fluidity will prevent him from being a true three-down player.
Noah Whittington,191,5.9,Whittington is an experienced player with natural running back instincts like good vision foot quickness and ball security but lacks the size and power to be a starting-level running back.
Kaelon Black,192,5.9,Black isn’t the most physically imposing back but his competitiveness footwork and contact balance as a runner are quality traits that can be valuable as a depth piece in a running back room at the next level.
Cole Wisniewski,193,5.9,Wisniewski is a tough smart downhill safety who can carve out an early-down role at the next level but his lack of overall speed and range will limit him to mostly special teams usage.
Chris McClellan,194,5.9,McClellan has the size strength and discipline to anchor an NFL interior front but inconsistent pad level and first-step quickness may cap his overall potential.
Cian Slone,195,5.9,Slone plays out of control and misses too many tackle attempts but his relentless attitude physicality and discipline make him an intriguing development option as a backup EDGE and special teamer early on.
Christian Jones,196,5.9,Jones has the blend of size strength and athleticism to develop at the next level but his struggles with consistent blocking leverage and technical skills against speed will limit him to a backup role.
DeMonte Capehart,197,5.9,Capehart has shown flashes of brilliance along the defensive front due to his play strength and heavy hands but an inconsistent pad level and limited impact as a pass rusher make him a backup defensive tackle early on at the next level.
Cole Brevard,198,5.9,Brevard has starting level upside as a true two-down run stuffer with upside as a pass rusher due to heavy hands and power at the POA but body control issues an inconsistent pad level and limited range make him a solid backup NT.
Tanner Koziol,199,5.9,Koziol is a massive target who has the hands 50/50-win skills and mismatch potential to eventually become a starting-level player but his massive struggles as a blocker currently limit him to a backup role.
Malik Benson,200,5.9,Benson is a deep threat that has enough quickness to win at the LOS and the second gear to separate vertically though his inability to separate elsewhere and a general lack of receiver skills will prevent him from becoming more than a depth piece at the next level.
Thaddeus Dixon,201,5.9,Dixon is a versatile competitive cornerback with solid speed and closing burst but a lack of play strength tackle efficiency and consistent willingness in run support limit him to be a top backup at the next level.
Matthew Hibner,202,5.9,With his size athleticism reliable hands and competitive blocking skills Hibner should become a complete tight end at the next level but limited block sustain and inconsistent separation skills keep him from being a starting-level player.
Bryce Phillips,203,5.9,Phillips is a fundamentally-sound corner with smooth footwork patience and ball skills to carve out a role at the next level but his lack of top-end speed and struggles with having disciplined vision will limit his ceiling.
Robert Henry Jr,204,5.9,Henry has a compact frame low center of gravity and good vision that provide value as a runner but he offers little value on 3rd down given he is not a natural hands-catcher and lacks stoutness in pass protection.
CJ Daniels,205,5.9,Daniels is a reliable WR with strong hands an understanding of how to get open and a willingness to block but he lacks a second gear to create much separation or yards after the catch limiting him to a depth-level player.
Seth McGowan,206,5.9,McGowan is a physically-gifted back with the skill set that revolves around his explosive first-step athleticism and contact balance but his control as a runner and limited potential in the passing game make him a backup at the next level.
Trey Moore,207,5.9,Moore is a versatile EDGE whose effort and play strength give him a chance at the next level but he’ll need to improve his consistency as a pass rusher and feel off the ball in order to be more than a depth-level player.
Kejon Owens,208,5.9,Owens is an aggressive downhill runner that has the patience burst and footwork to carve out a role but doesn’t offer much in the open field or as a tool in the pass game to be more than a backup.
Le'Veon Moss,209,5.9,Moss is a tough physical downhill back that can carve out an early-down role as a backup at the next level but with inconsistency as a blocker in pass pro and lack of top-end speed will limit his overall usage.
Joe Royer,210,5.9,Royer is a solid and athletically-built tight end who is a reliable pass catcher and talented movement blocker in space to be a quality backup at the next level.
J'Mari Taylor,211,5.9,Taylor is a shorter thickly-built running back who possesses the contact balance and pass game upside to make it as a backup at the next level but an upright running style and a lack of long speed or power will limit his ceiling.
Rahsul Faison,212,5.9,Faison possesses the vision and contact balance to be a solid backup two-down runner but a lack of breakaway speed elite elusiveness in the open field and high-end pass game impact will limit his usage at the next level.
Roman Hemby,213,5.9,Hemby is a tough downhill one-cut runner who shows sufficient vision but lacks the explosiveness and elusiveness to be a consistent playmaker at the next level.
Nate Boerkircher,214,5.9,Even with some athletic and explosive limitations Boerkircher has the FBI hands and competitive toughness to be a quality No. 2 backup at the next level.
Jamarion Miller,215,5.9,Miller is a compact muscular back who has the vision contact balance and ball security to be trusted as an early-down runner but does not have the burst or juice in the passing game to project as more than a backup two-down runner at the next level.
Harold Perkins Jr,216,5.8,While Perkins possesses the athletic gifts and timely playmaking ability coveted by NFL teams his passive approach poor eye discipline and error-prone tendencies in 2025 suggest a backup role until these concerns are addressed.
Will Kacmarek,217,5.8,Kacmarek has the tools to be one of the better run blocking tight ends in the league and while he isn’t a high-end pass catching threat his skill set can complement a tight end room at the next level very well.
Eric Gentry,218,5.8,Gentry’s lack of stoutness and inability to efficiently shed in the run game will limit his usage at the next level but his massive size length and range make him an intriguing prospect for personnel rotation.
Skyler Gill-Howard,219,5.8,Gill-Howard’s effort is undeniable and his active hands allow him to chain together pass rush moves easily but the lack of gap discipline and elite play strength/anchor will make it hard for him to see the field early on in his career.
Jakobe Thomas,220,5.8,Thomas is a big rangy safety who has the upside to match up well in coverage but major inconsistencies as a tackler and late read-and-react ability make him more of a depth-level defender and strong special teamer early on in his career.
Jimmy Rolder,221,5.8,Rolder is a steady and reliable second-level defender who shows the instincts range and competitive mentality to be a quality backup and core-four special teams contributor.
Bishop Fitzgerald,222,5.8,Fitzgerald has the ability in coverage and turnover production to be a backup free safety at the next level but lacks the physicality to become a three-down starter.
Justin Joly,223,5.8,Joly is a prototypical H-TE that offers receiving upside and alignment versatility but his lack of a true TE route tree and inconsistent blocking technique make him more of a No. 2 option than a starter early in his career.
Joe Fagnano,224,5.8,Fagnano is an experienced quarterback prospect with plus decision making ability and clutch tendencies but his limited ceiling as a passer and a runner will likely keep him to a backup role at the next level.
Cole Payton,225,5.8,Payton is a gritty dual-threat quarterback whose ability to extend plays and generate yards on the ground often mask his rigid throwing mechanics and his struggles to read defenses and make the right decision.
Jalen Stroman,226,5.8,Stroman is a physical albeit smaller strong safety who has the desired combination of speed intensity and tackling ability to find success at the next level but his upside could be limited due to a lack of production at the 3rd level.
Josh Cuevas,227,5.8,Cuevas is a versatile tight end with smooth athleticism and can be a reliable target in the short-to-intermediate passing game but he lacks some play strength and power as a blocker to be an every-down contributor.
Collin Wright,228,5.8,Wright is a versatile corner with good route recognition skills and run game ability who will need to improve at locating the ball and being less handsy down the field in order to become more than a depth-level defender and special teamer.
Aamil Wagner,229,5.8,Wagner is a towering tackle with good length and power in his upper body but his pad level and flexibility need to be improved upon as his body keeps developing at the next level.
Sam Roush,230,5.8,Roush is a physical tight end who looks to finish blocks to the the ground and thrives in short-yardage situations where he can create separation on short routes or create large run gaps but ultimately his inconsistency catching the football and lack of separation on medium and deep routes will keep him from becoming a starter.
Marlin Klein,231,5.8,Klein projects as an in-line tight end with good blocking upside while having the speed and athleticism to develop into a mismatch in the passing game but needs to round out his skill set to be an every-down contributor.
Robert Spears-Jennings,232,5.8,Spears-Jennings is a physical hard-hitting safety who’s best coming downhill in run support although his delayed instincts and over-aggression in the run game will keep him as a back up.
Landon Robinson,233,5.8,Robinson is an explosive and versatile defensive tackle that wins with quickness and leverage but his limited size and stoutness will ultimately keep him in a reserve role early in his career.
Markel Bell,234,5.8,One of the largest human beings in  football Bell has the length strength and power to develop into a starting-level player but lacking foot quickness and late hands will make him a work in progress early on.
Jaren Kanak,235,5.8,Kanak shows the speed route savvy and competitive toughness as a blocker to make it at the next level and with more strength and experience at the position he has a chance to ascend to a starting-level player.
Max Llewellyn,236,5.8,Llewellyn rushes the passer with a high motor technical hand use and a respectable repertoire to be a backup defensive end in an even-front scheme but must improve his play strength and edge set to be an every-down player.
Brandon Cleveland,237,5.8,Cleveland is a big agile nose tackle who can win with strength at the next level but his lack of explosiveness and pass rush ability make him better suited as a backup early on.
Red Murdock,238,5.8,Murdock has the stoutness shed ability and nose for the ball to be a physical two-down Mike LB at the next level but his limited movement ability and deficiencies in the pass game will put a cap on his ceiling.
Keyshaun Elliott,239,5.8,Elliott may lack the passing game impact and quick block shedding to warrant a starting spot but his toughness and reliability will make him a dependable option to fill out the roster.
Bryan Thomas Jr,240,5.8,Bryan Thomas Jr. is a twitchy high-motor edge rusher whose speed and get-off make him a depth-level option for a defensive line but a lack of length pass rush moves and strength to set the edge will make it hard on him at the next level.
Riley Nowakowski,241,5.8,Despite being slightly undersized Nowakowski is a tremendous blocker who has good play strength natural hands and competitive toughness but has a limited route tree and struggles to consistently create separation.
Caullin Lacy,242,5.8,Lacy is an elusive and versatile weapon who has the top-end speed to be a gadget player and returner at the next level but lacks the elite physical tools to effectively contribute in contested situations or as a blocker in the run game to be more than a depth-level receiver.
Eric McAlister,243,5.8,McAlister utilizes his size at the catch point and is a YAC monster due to his contact balance but his inconsistent hands and mediocre separation ability will keep him from seeing the field as a starter.
Isaiah Nwokobia,244,5.8,Nwokobia’s communication skills zone play and physicality are all good enough for him to earn playing time but his lack of top-end speed and man coverage skills limit his ability to be an every-down contributor.
Marvin Jones Jr,245,5.8,Jones is a big long EDGE who has the get-off and burst to cause disruption but is limited by his tight hips lack of PR repertoire and inability to set the edge with consistency against the run.
Jack Endries,246,5.8,Endries has smooth hands for a tight end to go with the play speed and competitiveness desired at the position but his narrow build and limited play strength cap his upside as an in-line blocker. That combined with his shortcomings as a pure separator will limit him to being a backup H-tight end at the next level.
Tyreak Sapp,247,5.8,Sapp has an NFL-ready frame and will offer value as a backup run defender and special teamer while he continues to work on his pass rushing ability.
Michael Taaffe,248,5.8,Taaffe is a slightly undersized safety with some athletic limitations that cap his ceiling but his toughness smarts and leadership qualities should earn him a long NFL career as a special teams ace and locker room guy.
Jalen McMurray,249,5.8,McMurray is a slot corner whose solid tackling closing speed and toughness make him a core special teamer and depth-level defender as his lack of ball skills and transition quickness limit his appeal as a starter.
Junior Vandeross III,250,5.8,Vandeross is an experienced and effective slot receiver with the twitch route savvy and well-rounded skill set to find a role at the next level but his small frame and lack of long speed will make it tough to see the field consistently.
Max Tomczak,251,5.8,Tomczak has the technical route running ability and strong reliable hands to carve out a role at the next level but his lack of playmaking ability with the ball and consistent separation against press will limit his overall usage.
Seydou Traore,252,5.8,Traore is an athletic receiving option who has natural hands but his liabilities as a blocker and limitations in a special teams role limit his overall appeal.
Albert Regis,253,5.8,Regis has the skill set to be a solid run-stuffing nose tackle but his lack of production and inability to be a force on 3rd down will keep him as a backup at the next level.
Dae'Quan Wright,254,5.8,With his ability after the catch and consistent hands to move the chains Wright can be a trusted target for any quarterback but he needs to play with more physicality to his frame to become more than a backup at the next level.
Brent Austin,255,5.8,Austin is a speedy corner who can run with just about anyone with good transition ability and sufficient ball skills but his lean frame and tendency to grab may limit his ability to be an every-down player.
Bobby Jamison-Travis,256,5.8,Jamison-Travis is a prototypical two-gapping nose tackle who utilizes his arm length and size at the line of scrimmage to stack and find the ball but his lack of pass rush ability and stamina make him a two-down backup.
Mikail Kamara,257,5.8,Kamara has a ton of experience and production as a pass rusher but his lack of size play strength and athleticism will limit his potential at the next level.
Dayon Hayes,258,5.8,Hayes is an explosive athlete that also blends good power and hand use in his pass rushing ability but his inconsistencies in edge setting against the run and limited bend will limit him to a backup role in the NFL.
Deven Eastern,259,5.8,Eastern is a big-bodied space eater with good play strength and anchor ability who with some technical refinements could be a solution to a leaky run defense.
Gary Smith III,260,5.8,Smith is a space-eating nose tackle who can plug gaps in the run game but lacks the athleticism and pass rush ability to be a three-down contributor at the next level.
Caleb Douglas,261,5.8,Douglas has the size and body control to be a red-zone threat but lacks the strength and twitchiness to consistently separate at an NFL-starter level.
Logan Fano,262,5.8,Fano gives good effort and has enough length to intrigue NFL teams but his overall lack of winning plays in either the passing or running game limits his initial appeal as he continues to develop.
Lorenzo Styles Jr,263,5.8,Styles is a versatile defensive back who will play a significant role on special teams with his speed and athleticism but needs to be more physical and instinctive to carve out a bigger role at the next level.
Noah Thomas,264,5.8,Thomas is a big-bodied but wiry receiver who possesses a large catch radius and contested-catch ability but a lack of play strength COD skills and route diversity likely hold him back from being a starting-level player at the next level.
Emmanuel Henderson Jr,265,5.8,Henderson is a vertical threat with explosive top-end speed whose upside hinges on developing reliable hands and refining route running.
Lewis Bond,266,5.8,Bond is versatile gives maximum effort on the field and displays reliable hands but his release inconsistency trouble making catches in traffic and mediocre separation ability will make him a better backup than starter early in his career.
Myles Rowser,267,5.8,Rowser is an intriguing defensive back who will have to show that his versatility physicality and upside outweigh the concerns over his eye discipline and technique.
Chase Roberts,268,5.8,Roberts lacks the ability to create easy separation and is not a natural playmaker which will be tough for the older draft prospect to overcome despite his route savvy and tempo.
Xavian Sorey Jr,269,5.8,Sorey is an athletic defender with a unique skill set to be a third-down sub-package linebacker with his range and blitz ability but lacks the true take-on ability and tackling consistency to be an every-down player.
Caden Fordham,270,5.8,Fordham is a MLB who shows solid range pursuit and stoutness to be a depth-level option at the next level but his lack of tackle efficiency length and feel in coverage could ultimately hold him back.
Chamon Metayer,271,5.8,Metayer has the size and receiving ability to be a solid backup TE and special teams player but his elusiveness and inconsistent blocking may prevent him from being a consistent starter.
Alan Herron,272,5.8,Herron possesses the length size and power desired for the position but lacks some technical refinement and has inconsistencies with pad level and hand usage which needs development to become a quality backup at the next level.
Keelan Marion,273,5.8,Marion is an explosive receiver whose athleticism RAC ability and competitiveness should allow him to make an NFL roster but a lack of consistent separation skills and limited production in contested situations make him a depth-level option.
Zavion Thomas,274,5.8,Thomas is a versatile gadget receiver with breakaway speed and playmaking ability on special teams but his inconsistent hands and route savvy must improve to see a larger role in an offense.
Kaden Wetjen,275,5.8,Wetjen possesses the speed explosiveness and playmaking ability to play a specific and limited role in offense but will make a big impact at the next level as a return specialist.
Lake McRee,276,5.8,McRee is a backup Y-tight end at the next level with his reliability and awareness as a run blocker but his lack of quickness elite play strength and overall athleticism will limit his usage at the next level.
Fa'alili Fa'amoe,277,5.8,Fa’amoe has the power and leg drive to be a mover in the run game but his lack of lateral redirection and inconsistent latch will limit him to a backup role at the next level.
DeShon Singleton,278,5.8,Singleton is a big safety with good length and instincts on the back end but doesn’t play as physical as his frame would suggest and lacks some COD quickness to recover.
Dillon Bell,279,5.8,Bell brings a well-rounded skill set as a wide receiver with the toughness and attitude that will allow him to help on special teams and in dirty work situations but lacks the twitchiness and high-end traits to see consistent time as a starter at the next level.
Aaron Anderson,280,5.8,Anderson is a tough compact slot-only receiver with good route savvy but his limited separation ability and inconsistent hands will limit his role at the next level.
Luke Altmyer,281,5.8,Altmyer is a smart and tough-minded QB who shows good qualities in being a backup QB at the next level despite his lack of arm talent and true playmaking ability.
Latrell McCutchin Sr,282,5.8,McCutchin is a lengthy athlete who has the physical tools to play on the outside in the modern game but his limited instincts ball skills and impatience will require patience from whichever team employs him.
Nyjalik Kelly,283,5.8,Kelly is a long edge rusher who plays outside his range but his lack of fluidity and issues finishing plays will limit him to a backup role in the NFL.
Avery Smith,284,5.8,While his natural abilities such length play strength and long speed will hinder his potential Smith is a smooth off-ball defender who excels in zone coverage and can function as a backup both on the inside and outside.
Jaylon Guilbeau,285,5.8,Guilbeau is a smaller corner with clear limitations in his game but he has the requisite comfort in zone coverage and the willingness and ability in run support to earn a coach’s trust and a role on a team.
Travis Burke,286,5.8,Burke has the desirable frame and underlying athleticism teams bank on while he works to improve his anchor stoutness pad level and mirroring fluidity.
Toriano Pride Jr,287,5.8,Pride has the speed burst and zone coverage skills to make the roster as a depth-level corner but his sticky hips and struggles in man or press will make it difficult for him to ascend to being a starter.
Wade Woodaz,288,5.8,Woodaz’s length and range in pass coverage and versatility on 3rd downs will get him in the door at the next level but his inability to quickly diagnose what’s going on in the run game or stack-and-shed bigger blockers will make it difficult to see the field.
Scooby Williams,289,5.8,Williams has the athletic profile to be a coverage linebacker in a backup capacity but needs to improve as a tackler and take-on ability to earn more playing time at the next level.
Jeffrey M'ba,290,5.8,M’ba is a big strong and disciplined defensive lineman who brings scheme versatility but an upright pad level a lack of agility and inconsistency in the pass game make him a depth-level option early in his career.
Ahmari Harvey,291,5.8,Harvey possesses the zone coverage skills burst and ball skills to be given a shot as a depth corner but he lacks the hip transition and overall speed to ascend to starting-level status.
Justin Jefferson,292,5.8,Jefferson is a high-motor athletic linebacker with sufficient coverage skills who can be a quality core-four special teamer but lacks the size and frame to be a consistent run defender at the next level.
David Gusta,293,5.8,Gusta is a strong interior defender whose first-step quickness and motor shine as a depth-level backup but his lack of leverage as a rusher and inconsistency finishing plays limit his effectiveness at the next level.
Namdi Obiazor,294,5.8,Obiazor offers value given his block shedding inside the box and zone awareness but his slow play recognition and struggles matching up with NFL-caliber athletes will keep him in a backup role to begin his NFL career.
Miles Scott,295,5.8,Scott is a compactly-built free safety showing leadership and ball skills on the back-end of the defense who has the traits to be a quality special teams and depth piece in the secondary.
Tyre West,296,5.8,West lacks ideal height bend and play strength for the next level but his quick first step powerful hands and hot motor make him a solid rotational defensive line option and occasional special teamer.
Aaron Hall,297,5.8,Hall has the get-off quickness and first-step length that are sufficient for the next level but an upright pad level limited pass rush ability and overall inconsistency make him more of a deep rotational option.
James Thompson Jr,298,5.8,Thompson’s size length and tackling ability allow him to serve a role as a backup run defender but his pass rushing ability will prevent him from being a truly effective option for teams.
DeVonta Smith,299,5.8,Smith is an athletic cornerback with the length and skill set to play both on the inside and outside but his limited ball skills hip fluidity and value as a run defender will prevent him from being a consistent contributor at the next level. 
Devin Lafayette,300,5.8,Lafayette shows potential as a versatile defender who plays with aggression and a sound understanding of his role but his limited hip fluidity ball skills and head-on tackling concerns will leave him fighting for a roster spot.
Jalen Walthall,301,5.8,Walthall offers the speed route urgency and body control to be a deep threat but his inconsistent hands and lack of special teams appeal will move him to a backup role at the next level.
Haynes King,302,5.8,King is an older injury-susceptible quarterback without an elite arm proper decision making or next-level accuracy but is a team leader whose rushing and improvisational skills could be enticing enough to warrant further development.
Donaven McCulley,303,5.8,McCulley is a big-framed receiver with natural athleticism and the ability to win at the catch point but lacks the separation and route running precision to be a true every-down type of receiver.
Ahmaad Moses,304,5.8,Moses is a small but scrappy safety whose production and physicality at all levels will give him a shot at the next level but a lack of feel as a deep defender and incredibly inconsistent tackling form/production make it an uphill battle.
Harrison Wallace III,305,5.8,Wallace shows the body control and tracking ability to be a depth WR but must improve his play strength and release quickness at the next level.
J Michael Sturdivant,306,5.8,Sturdivant has the size speed tracking and hands to develop at the next level but his lack of playmaking ability and consistent separation will keep him down on the depth chart early in his career.
Sterling Webb,307,5.8,Webb possesses the ideal first-step length and play strength to become a versatile depth-level defender but his inefficiency against double teams and inconsistency rushing the passer could hold him back.
Vinny Anthony II,308,5.8,Anthony is an average receiver who is sufficient in most areas of the game with solid hands and run-after-catch ability but his lack of route savvy and contested-catch ability will limit his role at the next level.
Jackie Marshall,309,5.8,Marshall's campaign for a rotational defensive tackle spot hinges on proving his agility and heavy hands can offset his limited impact plays underdeveloped pass-rush plan and lack of lateral stoutness.
Aaron Graves,310,5.8,Graves is a solidly-built interior defender who has a quick first step and explosive hands to defeat blocks quickly against the run and pass but needs to improve his functional strength and run anchor as he moves to the next level.
Dane Key,311,5.8,Key is a big wide receiver who shows strong hands savviness as a route runner and competitiveness as a blocker to be a depth piece in the wide receiver room at the next level.
Joey Aguilar,312,5.8,Aguilar has intriguing qualities in his ability to make off-platform throws and to layer the ball down the field with a quick release but as a much older prospect he will need to vastly improve his decision making and pocket presence to make an NFL roster.
Diego Pavia,313,5.8,Pavia has the intangibles desired at quarterback: a gamer mentality strong improv skills and good rushing ability but limited size arm strength and accuracy limit his upside at the next level.
Skyler Thomas,314,5.8,With the experience ability to range across the defense and instincts playing the run Thomas will be able to provide sufficient depth but the lack of overall speed route recognition and inconsistent tackling strength will limit his overall usage.
George Gumbs Jr,315,5.8,Gumbs is a juiced-up EDGE rusher who plays with good leverage strong hands and a relentless motor but his inconsistency as a pass rusher and lack of awareness as a zone defender will make it difficult for him to be more than a depth-level backup at the next level.
Matthew Henry,316,5.8,Henry is a fast smaller wideout with impressive catching skills down the sideline but his struggles when it comes to working through contact and unpolished route running leave him with an uphill battle to getting sustained playing time.
Jalen Farmer,317,5.7,Farmer is a guard-only prospect whose strength and power are the name of his game and while he has upside to eventually turn into a starter his heavy feet and ineffectiveness in space make him a backup-level player early on in his career.
Pat Coogan,318,5.7,Coogan is a smart steady interior presence who can win with body positioning and intelligence but lacks the power and overall play strength to be a consistent starter at the next level.
Febechi Nwaiwu,319,5.7,Nwaiwu is a powerful guard who uses leverage and proper positioning to win in the trenches but struggles with balance and lateral quickness limit his usage and effectiveness at the next level.
DJ Harvey,320,5.7,Harvey is an experienced corner that possesses lateral athleticism good patience and solid footwork that give him a decent foundation to potentially be a quality backup at the next level.
Jeremiah Wright,321,5.7,Wright has the size and anchor to plug up the middle of the line but his struggles with generating movement and second-level impact will keep him buried on the depth chart at the next level.
Jaren Kump,322,5.7,Kump is a large-framed experienced center prospect who will need to improve his tenacity and leverage to work himself into more than a backup center.
DJ Rogers,323,5.7,Rogers flashes receiving value as a safety blanket but his struggles winning separation battles as well as inconsistent blocking impact will leave him fighting for a roster spot.
Caden Barnett,324,5.7,Barnett is a strong powerful guard who has a nasty streak and the starting-level qualities to develop at the next level but his stiff lower half upright play style and lack of foot speed will likely prevent him from reaching his ceiling.
Jaeden Roberts,325,5.7,Roberts has the size length and functional strength every offensive line coach salivates over but must clean up his footwork awareness and body control to be more than a backup.
Anez Cooper,326,5.7,Cooper has the length power and strength but lets rushers into his chest far too often which showcases his mediocre hand usage and high pad level limiting him from having more success at the next level.
Enrique Cruz Jr,327,5.7,Cruz is a good linear athlete that pops out of his stance and gets to his landmarks in a hurry but his wide hands lack of power and inability to change directions will hold him back from being a reliable backup at either tackle spot early in his career.
Karson Sharar,328,5.7,Sharar is a fluid off-ball linebacker with improving instincts and a non-stop motor but he will need to overcome limited experience and improve his sturdiness in run support to avoid being a special teams only player.
Micah Morris,329,5.7,Morris is a big powerful naturally strong guard with some starting-level qualities at the next level but a lack of foot quickness proper pad level and consistent hand placement ultimately make him a backup option early in his career.
Kobe Baynes,330,5.7,Baynes has the ability to be a backup guard due to his durability power and awareness but his limited athletic profile and hand use issues will hold him back from being a starter.
Evan Beerntsen,331,5.7,Beerntsen is a compact but strong guard who has an abundance of experience under his belt who has the play strength and FBI to be a depth level guard at the next level.
Fernando Carmona,332,5.7,Carmona is a durable and instinctual blocker who can fit into a zone-rushing scheme at the next level but lacks the reactive athleticism and body control to be a true versatile backup.
Cameron Ball,333,5.7,Ball is a big and bulky defensive tackle who will fit best as a true nose tackle with his ability to stuff the run but his athletic limitations and middling production as a pass rusher will keep him as a backup at the next level.
Shad Banks Jr,334,5.7,Banks is a naturally athletic rangy linebacker who shows potential but his processing speed will need to improve as will his ability to take on blocks in the interior.
Bryson Eason,335,5.7,Eason is a capable run defender with strong hands and solid pad level who can align from the nose or 3-tech spot but lacks the overall production and impact as a pass rusher to be an every-down contributor.
Keagen Trost,336,5.7,Trost’s frame leverage and positioning will allow him to get a chance at the next level but his age lack of tenacity and inconsistent hand usage could hold him back from hitting his ceiling.
Bryce Foster,337,5.7,Foster shows good FBI and upper-body strength but his limited lower-body quickness and lack of a leg drive will keep him as a backup in the NFL. 
Joshua Braun,338,5.7,Braun has good size and length with solid footwork to work his way into proper positioning but he lacks play strength and isn’t nasty enough in the run game to be more than a backup-level lineman.
Khalil Dinkins,339,5.7,Dinkins is a tough aggressive blocker with soft hands who shows promise as a core special teamer but subpar balance and play strength will need to be improved as he works to the next level.
Dillon Wade,340,5.7,Wade has some intriguing athletic traits as an interior blocker but his inconsistency to set a strong early anchor will need to improve to consistently see more playing time.
Garrett DiGiorgio,341,5.7,DiGiorgio is a tall and physical interior blocker who plays with the desired mentality along the trenches but lacks the athleticism and control to be a versatile backup at the next level.
Bauer Sharp,342,5.7,Sharp is an athletic tight end with good play speed who is still developing his all-around game as a tight end and if he can get stronger and polish up his blocking technique he can be a quality depth player.
Logan Taylor,343,5.7,Taylor is an experienced offensive lineman who has extensive experience to go along with power and awareness but inconsistent hand usage pad level and balance will make it difficult for him at the next level.
Aidan Hubbard,344,5.7,Hubbard has an explosive first step good instincts and a solid motor but his lack of strength bend and edge set ability will relegate him to be a low-end backup who needs more physical development to his frame.
Kolbey Taylor,345,5.7,Taylor is a tall lanky corner whose length and zone skills offer some growable upside at the next level but he’ll need to improve his hip fluidity and tackling in order to see the field on a consistent basis.
Khordae Sydnor,346,5.7,Sydnor is a long edge rusher who has the physical and athletic profile teams will covet but he is still a bit raw as a prospect and needs to add more core strength to allow him to be an every-down contributor.
Jack Pyburn,347,5.7,Pyburn plays with the desired competitive toughness violence to defend the run and be a special teams contributor but his limitations rushing the passer will limit his role at the next level.
Cameron Robertson,348,5.7,Robertson’s pass rush repertoire and flashes of effective bend around the corner make him an intriguing low-level depth option but his lack of explosiveness anchor and shed ability will limit his playing time at the next level.
Max Bredeson,349,5.7,Bredeson is an excellent run-blocker with the required toughness and technique to be an impactful fullback/H-back and core special teamer but his lack of pass-catching upside will limit his usage at the next level.
Miles Kitselman,350,5.7,Kitselman has the frame and blocking ability to eventually become a complete tight end with further development but inconsistent hands and a lack of speed make him a depth-level option early in his career.
Rohan Jones,351,5.7,Jones is an athletic H-TE who brings some intriguing speed and explosiveness to the position but his lack of play strength and underwhelming size must improve to be a more well-rounded player to contribute in an offense.
